,county,city,state
0,Mason County,Shelton,WA
1,Washington County,Aloha,OR
2,Sedgwick County,Wichita,KS
3,San Francisco County,San Francisco,CA
4,Weld County,Evans,CO
5,Logan County,Guthrie,OK
6,Maricopa County,Chandler,AZ
7,Saline County,Assaria,KS
8,Des Moines County,Burlington,IA
9,Tioga County,Knoxville,PA
10,San Joaquin County,Stockton,CA
11,Brazoria County,Freeport,TX
12,Franklin County,Columbus,OH
13,Polk County,Des Moines,IA
14,Orleans Parish,New Orleans,LA
15,Yellowstone County,Huntley,MT
16,Salt Lake County,Salt Lake City,UT
17,Union County,Strong,AR
18,Davis County,Syracuse,UT
19,Lonoke County,England,AR
20,El Paso County,El Paso,TX
21,Douglas County,Arcola,IL
22,Los Angeles County,South Gate,CA
23,Clark County,North Las Vegas,NV
24,Bernalillo County,Albuquerque,NM
25,Atascosa County,Jourdanton,TX
26,Ramsey County,St. Paul,MN
27,Franklin County,Franklin County,MO
28,Chesapeake city,Chesapeake,VA
29,Middlesex County,Old Bridge,NJ
30,Brazoria County,Lake Jackson,TX
31,Salt Lake County,Draper,UT
32,Marion County,Indianapolis,IN
33,Arapahoe County,Aurora,CO
34,Hennepin County,Bloomington,MN
35,Solano County,Fairfield,CA
36,Evangeline Parish,Evangeline Parish,LA
37,Kaufman County,Mabank,TX
38,Alameda County,Fremont,CA
39,Muskogee County,Muskogee,OK
40,Los Angeles County,Los Angeles,CA
41,Tarrant County,Fort Worth,TX
42,Pinal County,Maricopa,AZ
43,Magoffin County,Gunlock,KY
44,Norfolk County,Weymouth,MA
45,Maricopa County,Scottsdale,AZ
46,Riverside County,Hemet,CA
47,Starr County,Chapeno,TX
48,St. Louis city,St. Louis,MO
49,Rockingham County,Derry,NH
50,Hudspeth County,Sierra Blanca,TX
51,Gregg County,Longview,TX
52,Travis County,Austin,TX
53,Broward County,Fort Lauderdale,FL
54,Hockley County,Levelland,TX
55,Madison County,Rexburg,ID
56,Baltimore city,Baltimore,MD
57,Pueblo County,Pueblo,CO
58,Camden County,Winslow,NJ
59,Denver County,Denver,CO
60,Hennepin County,New Hope,MN
61,Lynn County,Tahoka,TX
62,Kern County,Wasco,CA
63,Maricopa County,Phoenix,AZ
64,Greenlee County,Morenci,AZ
65,Douglas County,Omaha,NE
66,Montague County,Sunset,TX
67,Fort Bend County,Rosenberg,TX
68,Payne County,Stillwater,OK
69,Kent County,Wyoming,MI
70,Yellowstone County,Billings,MT
71,Harris County,Houston,TX
72,Baltimore County,Randallstown,MD
73,Bay County,Bay City,MI
74,Dauphin County,Hummelstown,PA
75,San Bernardino County,Apple Valley,CA
76,Alameda County,Emeryville,CA
77,Contra Costa County,Antioch,CA
78,Coffee County,Douglas,GA
79,Leon County,Tallahassee,FL
80,Orange County,Orlando,FL
81,Maricopa County,Tempe,AZ
82,McLennan County,Lorena,TX
83,Shelby County,Memphis,TN
84,San Bernardino County,Chino,CA
85,Oklahoma County,Oklahoma City,OK
86,Riverside County,Calimesa,CA
87,Gaston County,Gastonia,NC
88,Anchorage,Anchorage,AK
89,Rockland County,New City,NY
90,Orange County,Orange County,FL
91,Montague County,Nocona,TX
92,Aroostook County,Smyrna,ME
93,Dallas County,Dallas,TX
94,Franklin County,Pasco,WA
95,Shelby County,Whitehaven,TN
96,Garfield County,New Castle,CO
97,Santa Clara County,San Jose,CA
98,Tallapoosa County,Dadeville,AL
99,San Bernardino County,San Bernardino,CA
100,Wyandotte County,Kansas City,KS
101,Berks County,Reading,PA
102,Carroll County,McLemoresville,TN
103,Pinal County,San Manuel,AZ
104,Baltimore County,Essex,MD
105,Webb County,Laredo,TX
106,Miami-Dade County,Miami Gardens,FL
107,Tishomingo County,Iuka,MS
108,Clackamas County,Colton,OR
109,Pima County,Marana,AZ
110,Ada County,Boise,ID
111,Utah County,Provo,UT
112,Gaston County,Gaston County,NC
113,Greene County,Springfield,MO
114,Eaton County,Eaton Rapids Township,MI
115,Middlesex County,Tewksbury,MA
116,Val Verde County,Del Rio,TX
117,Mecklenburg County,Charlotte,NC
118,Tarrant County,Euless,TX
119,Jefferson County,Homewood,AL
120,Jefferson County,Birmingham,AL
121,Lincoln County,Ruidoso,NM
122,Brevard County,Palm Bay,FL
123,Lehigh County,Allentown,PA
124,Livingston Parish,Denham Springs,LA
125,Cobb County,Powder Springs,GA
126,Habersham County,Clarkesville,GA
127,Elmore County,Millbrook,AL
128,Brown County,Green Bay,WI
129,Clark County,Las Vegas,NV
130,Vigo County,Terre Haute,IN
131,Polk County,Lakeland,FL
132,Harrison County,Gulfport,MS
133,Worth County,Sylvester,GA
134,Orange County,Santa Ana,CA
135,Anderson County,Pelzer,SC
136,Eaton County,Roxand Township,MI
137,St Louis city,St Louis,MO
138,Pima County,Tucson,AZ
139,Boone County,Columbia,MO
140,Edgecombe County,Tarboro,NC
141,La Paz County,La Paz County,AZ
142,Marshall County,Barton,MS
143,Will County,Joilet,IL
144,Wicomico County,Salisbury,MD
145,Volusia County,Deltona,FL
146,Milwaukee County,Milwaukee,WI
147,Los Angeles County,Burbank,CA
148,Lancaster County,Lincoln,NE
149,Putnam County,Putnam Hall,FL
150,Dane County,Madison,WI
151,New Castle County,Claymont,DE
152,Orange County,Anaheim,CA
153,Transylvania County,Brevard,NC
154,Moffat County,Dinosaur,CO
155,Brevard County,Cocoa,FL
156,Fulton County,Atlanta,GA
157,East Baton Rouge Parish,Baton Rouge,LA
158,Chatham County,Port Wentworth,GA
159,San Bernardino County,Ontario,CA
160,Cuyahoga County,Cleveland,OH
161,Mohave County,Kingman,AZ
162,Baldwin County,Bay Minette,AL
163,Jefferson County,Hoover,AL
164,Cecil County,Elkton,MD
165,District of Columbia,Washington,DC
166,Jackson County,Kansas City,MO
167,San Bernardino County,Fontana,CA
168,Contra Costa County,Walnut Creek,CA
169,Napa County,Napa,CA
170,Bexar County,San Antonio,TX
171,Brooke County,Follansbee,WV
172,Kenosha County,Kenosha,WI
173,Lincoln County,Ruth,MS
174,Polk County,Onalaska,TX
175,Sacramento County,Sacramento,CA
176,Jackson County,Medford,OR
177,Bladen County,Dublin,NC
178,Kern County,Bakersfield,CA
179,Maricopa County,Glendale,AZ
180,Duval County,Jacksonville,FL
181,Whatcom County,Sumas,WA
182,Lawrence County,Lawrence County,AL
183,Canyon County,Middleton,ID
184,Apache County,Red Valley,AZ
185,Coal County,Coal County,OK
186,Orleans County,Clarendon,NY
187,Clay County,Harmony,IN
188,Yavapai County,Cottonwood,AZ
189,Solano County,Vallejo,CA
190,Multnomah County,Portland,OR
191,Suffolk County,Islip,NY
192,Santa Clara County,Santa Clara,CA
193,Fond du Lac County,Fond du Lac,WI
194,Portsmouth city,Portsmouth,VA
195,Cobb County,Smyrna,GA
196,Florence County,Johnsonville,SC
197,Los Angeles County,South Los Angeles,CA
198,Johnson County,Gardner,KS
199,Los Angeles County,Wilmington,CA
200,San Diego County,Encinitas,CA
201,St. Lucie County,Fort Pierce,FL
202,Worcester County,Webster,MA
203,Ventura County,Oxnard,CA
204,Mineral County,Fort Ashby,WV
205,Suffolk County,Boston,MA
206,Pike County,Jasper,OH
207,Hardin County,Elizabethtown,KY
208,Lane County,Eugene,OR
209,Clark County,Boulder City,NV
210,Hillsborough County,Carollwood,FL
211,Harris County,Baytown,TX
212,Anne Arundel County,Fort Meade,MD
213,Los Angeles County,Hawthorne,CA
214,Mercer County,Hamilton,NJ
215,Rock Island County,Rock Island,IL
216,Massac County,Metropolis,IL
217,Tulsa County,Tulsa,OK
218,Rapides Parish,Pineville,LA
219,Winchester city,Winchester,VA
220,Lake County,Zion,IL
221,Charleston County,North Charleston,SC
222,Orange County,Orange,CA
223,Santa Fe County,Edgewood,NM
224,Kern County,Tehachapi,CA
225,Jefferson Parish,Harvey,LA
226,Jefferson County,Jefferson County,ID
227,Pottawatomie County,Pottawatomie County,OK
228,Lowndes County,Valdosta,GA
229,Santa Clara County,Sunnyvale,CA
230,Creek County,Kellyville,OK
231,Santa Rosa County,Navarre,FL
232,White County,Monon,IN
233,Adams County,Straban Township,PA
234,Spartanburg County,Boiling Springs,SC
235,Tehama County,Corning,CA
236,Shawnee County,Topeka,KS
237,Tulsa County,Sand Springs,OK
238,Sampson County,Salemburg,NC
239,Madison County,Alton,IL
240,Dallas County,DeSoto,TX
241,Craighead County,Jonesboro,AR
242,Miami-Dade County,Miami,FL
243,Spartanburg County,Spartanburg,SC
244,Fremont County,Ca�on City,CO
245,San Bernardino County,Montclair,CA
246,Kern County,Shafter,CA
247,Cook County,Chicago,IL
248,St. Louis County,Jennings,MO
249,Bay County,Panama City,FL
250,Jessamine County,Wilmore,KY
251,Cheyenne County,Sidney,NE
252,Hidalgo County,Mission,TX
253,Mercer County,Trenton,NJ
254,Pierce County,Lakewood,WA
255,Lexington County,Irmo,SC
256,Cochise County,Bisbee,AZ
257,Queens County,Queens,NY
258,Boulder County,Eldorado Springs,CO
259,Los Angeles County,Sylmar,CA
260,McCurtain County,Rufe,OK
261,Los Angeles County,Long Beach,CA
262,Sonoma County,Windsor,CA
263,Ottawa County,Miami,OK
264,Las Animas County,Trinidad,CO
265,Victoria County,Victoria,TX
266,New York city,New York,NY
267,Lake County,Clermont,FL
268,Adair County,Bunch,OK
269,Kings County,Kings County,CA
270,Orange County,Fountain Valley,CA
271,Wayne County,Detroit,MI
272,Richland County,Mansfield,OH
273,Williamson County,Marion,IL
274,Grady County,Chickasha,OK
275,Maricopa County,Mesa,AZ
276,Sacramento County,Elk Grove,CA
277,Emporia city,Emporia,VA
278,Davidson County,Nashville,TN
279,San Diego County,San Diego,CA
280,Kent County,Smyrna,DE
281,Duchesne County,Roosevelt,UT
282,Dallas County,Garland,TX
283,Perry County,Chavies,KY
284,Benton County,Kennewick,WA
285,Los Angeles County,Venice,CA
286,Los Angeles County,South El Monte,CA
287,Pulaski County,Pulaski,VA
288,Wake County,Wake Forest,NC
289,Gwinnett County,Lawrenceville,GA
290,Dutchess County,Beacon,NY
291,Los Angeles County,Cerritos,CA
292,Pinal County,Kearny,AZ
293,Oswego County,Constantia,NY
294,Anoka County,Fridley,MN
295,Pierce County,Tacoma,WA
296,Prince George's County,Landover,MD
297,St. Johns County,St. Augustine,FL
298,Honolulu County,Honolulu,HI
299,Orange County,Rancho Santa Margarita,CA
300,Kalamazoo County,Portage,MI
301,Winnebago County,Rockford,IL
302,Cook County,Harvey,IL
303,Pinellas County,St. Petersburg,FL
304,Arlington County,Arlington,VA
305,Lonoke County,Cabot,AR
306,Mesa County,Grand Junction,CO
307,Lancaster County,Lancaster,PA
308,Summit County,Green,OH
309,Daviess County,Owensboro,KY
310,Campbell County,Gillette,WY
311,Broward County,Ft. Lauderdale,FL
312,Bergen County,Hackensack,NJ
313,Charleston County,Charleston,SC
314,Somerset County,Somerset,PA
315,Pettis County,Sedalia,MO
316,Apache County,Eagar,AZ
