,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,is_geocoding_exact,age_group,Year
0,2015-01-02,shot,gun,53.0,M,A,Shelton,WA,True,attack,no flee,False,True,50-60,2015
1,2015-01-02,shot,gun,47.0,M,W,Aloha,OR,False,attack,no flee,False,True,40-50,2015
2,2015-01-03,shot and Tasered,unarmed,23.0,M,H,Wichita,KS,False,other,no flee,False,True,20-30,2015
3,2015-01-04,shot,other,32.0,M,W,San Francisco,CA,True,attack,no flee,False,True,30-40,2015
4,2015-01-04,shot,gun,39.0,M,H,Evans,CO,False,attack,no flee,False,True,30-40,2015
5,2015-01-04,shot,gun,18.0,M,W,Guthrie,OK,False,attack,no flee,False,True,10-20,2015
6,2015-01-05,shot,gun,22.0,M,H,Chandler,AZ,False,attack,flee,False,True,20-30,2015
7,2015-01-06,shot,gun,35.0,M,W,Assaria,KS,False,attack,no flee,False,True,30-40,2015
8,2015-01-06,shot,unarmed,34.0,F,W,Burlington,IA,False,other,no flee,True,True,30-40,2015
9,2015-01-06,shot,other,47.0,M,B,Knoxville,PA,False,attack,no flee,False,True,40-50,2015
10,2015-01-06,shot and Tasered,other,25.0,M,W,Stockton,CA,False,attack,no flee,False,True,20-30,2015
11,2015-01-07,shot,gun,31.0,M,B,Freeport,TX,False,attack,no flee,False,True,30-40,2015
12,2015-01-07,shot,other,41.0,M,B,Columbus,OH,True,other,no flee,False,True,40-50,2015
13,2015-01-07,shot,gun,30.0,M,W,Des Moines,IA,False,attack,flee,False,True,20-30,2015
14,2015-01-07,shot,gun,37.0,M,B,New Orleans,LA,False,attack,flee,True,True,30-40,2015
15,2015-01-08,shot,unknown,28.0,M,W,Huntley,MT,False,undetermined,no flee,False,True,20-30,2015
16,2015-01-08,shot,other,42.0,M,W,Salt Lake City,UT,False,attack,no flee,True,True,40-50,2015
17,2015-01-08,shot,unarmed,36.0,M,B,Strong,AR,False,attack,no flee,False,True,30-40,2015
18,2015-01-08,shot,gun,49.0,M,W,Syracuse,UT,False,attack,no flee,True,True,40-50,2015
19,2015-01-09,shot,gun,71.0,M,W,England,AR,False,attack,no flee,False,True,70-80,2015
20,2015-01-09,shot,gun,33.0,M,H,El Paso,TX,False,attack,no flee,False,True,30-40,2015
21,2015-01-11,shot,gun,39.0,M,W,Arcola,IL,True,attack,no flee,False,True,30-40,2015
22,2015-01-11,shot,gun,23.0,M,H,South Gate,CA,False,attack,no flee,False,True,20-30,2015
23,2015-01-11,shot and Tasered,gun,29.0,M,H,North Las Vegas,NV,False,attack,flee,False,True,20-30,2015
24,2015-01-13,shot,gun,34.0,M,W,Albuquerque,NM,False,attack,flee,True,True,30-40,2015
25,2015-01-13,shot,other,43.0,M,W,Jourdanton,TX,True,other,no flee,False,True,40-50,2015
26,2015-01-14,shot,unknown,24.0,M,B,St. Paul,MN,False,attack,no flee,False,True,20-30,2015
27,2015-01-14,shot,unknown,29.0,M,W,Franklin County,MO,False,attack,no flee,False,True,20-30,2015
28,2015-01-14,shot,gun,34.0,M,B,Chesapeake,VA,True,attack,no flee,False,True,30-40,2015
29,2015-01-14,shot,other,75.0,M,W,Old Bridge,NJ,False,attack,no flee,False,True,70-80,2015
30,2015-01-14,shot,gun,68.0,M,W,Lake Jackson,TX,False,attack,no flee,False,True,60-70,2015
31,2015-01-14,shot,other,34.0,M,W,Draper,UT,False,attack,no flee,True,True,30-40,2015
32,2015-01-15,shot,gun,27.0,M,B,Indianapolis,IN,False,attack,flee,False,True,20-30,2015
