City,State,Number of Killed,% of killed who carried gun,% of killed who were unarmed,% of killed who were race A,% of killed who were race B,% of killed who were race H,% of killed who were race N,% of killed who were race O,% of killed who had sign of mental illness,% of killed who were male,% of killed who attacked,% of killed whose threat undertermined,% of killed who were fleeing,% of killed whose killer had body camera on,% of killed age 10 and below,% of killed 30 and below,% of killed 50 and below
300 block of State Line Road,TN,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Abbeville,AL,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1
Aberdeen,NC,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Aberdeen,WA,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Abilene,TX,3,0.333333333,0,0,0.333333333,0,0,0,0.333333333,1,0.666666667,0,0.333333333,0,0,0.666666667,1
Abingdon,MD,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Abingdon,VA,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
Abington Township,PA,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Acworth,GA,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Ada,OK,3,0.666666667,0,0,0,0,0,0,0.333333333,1,1,0,0,0,0,0.333333333,0.333333333
Adams County,CO,5,0.2,0.2,0,0,0.2,0,0,0,0.8,0.8,0.2,0.6,0,0,0.2,0.4
Addison,TX,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1
Adel,GA,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Adelanto,CA,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1
Adrian,MO,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
Affton,MO,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Aguanga,CA,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ahwatukee,AZ,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
Aiea,HI,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
Aiken,SC,4,1,0,0,0.25,0,0,0,0.25,1,1,0,0,0,0,0.25,1
Airway Heights,WA,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Aitkin,MN,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Akron,OH,7,0.571428571,0.428571429,0,0.285714286,0,0,0.285714286,0.571428571,1,0.428571429,0.142857143,0.428571429,0.142857143,0,0.428571429,0.857142857
Alamo,TN,2,0.5,0,0,0.5,0,0,0,1,1,0.5,0,0,0.5,0,0.5,1
